Symbol,Date,Open,High,Low,Close,Volume
GME,2024-01-30,14.54,14.82,14.51,14.55,1652600
GME,2024-01-31,14.4,14.83,14.22,14.23,2684700
GME,2024-02-01,14.34,14.42,14.02,14.42,2220200
GME,2024-02-02,14.15,14.92,14.08,14.73,2922600
GME,2024-02-05,14.5,14.61,13.4,13.46,4361500
GME,2024-02-06,13.6,14.3,13.43,14.1,3047800
GME,2024-02-07,14.12,14.3,13.78,14.07,1947800
GME,2024-02-08,14.01,14.44,13.89,14.35,1838300
GME,2024-02-09,14.37,15.23,14.3,14.66,3575300
GME,2024-02-12,14.58,15.22,14.53,14.73,2750100
GME,2024-02-13,14.2,14.4,13.77,14.17,3788700
GME,2024-02-14,14.33,14.43,14.05,14.41,2504400
GME,2024-02-15,14.54,14.75,14.23,14.51,2400500
GME,2024-02-16,14.46,14.53,14.1,14.12,2297200
GME,2024-02-20,13.96,14.05,13.16,13.49,3784500
GME,2024-02-21,13.46,13.67,13.23,13.41,1731300
GME,2024-02-22,13.5,13.65,13.34,13.36,1817800
GME,2024-02-23,13.3,13.79,13.12,13.51,2319700
GME,2024-02-26,13.31,13.75,13.2,13.68,2278600
GME,2024-02-27,13.7,14.29,13.68,14.21,2795500
GME,2024-02-28,14.0,14.47,13.89,14.24,2440700
GME,2024-02-29,14.34,14.65,14.03,14.27,2638700
GME,2024-03-01,14.18,15.09,13.99,14.95,4890900
GME,2024-03-04,14.93,15.59,14.83,15.22,4367600
GME,2024-03-05,14.95,15.28,14.78,15.0,3152700
GME,2024-03-06,15.22,15.89,14.94,15.26,3818100
GME,2024-03-07,15.26,15.51,15.05,15.26,2111900
GME,2024-03-08,15.4,15.63,14.52,14.65,3165700
GME,2024-03-11,14.64,14.94,14.36,14.43,2111900
GME,2024-03-12,14.35,14.84,14.09,14.72,2382600
GME,2024-03-13,14.69,15.2,14.62,14.87,2898100
GME,2024-03-14,14.8,15.02,14.4,14.63,2534200
GME,2024-03-15,14.55,14.83,14.21,14.24,4476500
GME,2024-03-18,14.25,14.3,13.9,13.91,3490800
GME,2024-03-19,13.76,13.89,13.3,13.41,3894700
GME,2024-03-20,13.47,13.79,13.21,13.48,3921300
GME,2024-03-21,13.56,14.02,13.48,13.66,3382800
GME,2024-03-22,13.76,13.95,13.01,13.1,4400000
GME,2024-03-25,13.42,15.15,13.31,15.12,10416300
GME,2024-03-26,15.15,15.63,14.75,15.5,17245800
GME,2024-03-27,13.05,13.72,12.8,13.17,17871300
GME,2024-03-28,13.19,13.19,12.47,12.52,8473500
GME,2024-04-01,12.63,12.67,11.55,11.99,9207100
GME,2024-04-02,11.84,11.99,11.26,11.28,6327700
GME,2024-04-03,11.22,11.5,10.9,11.38,4331500
GME,2024-04-04,11.5,11.83,11.38,11.53,4347000
GME,2024-04-05,11.3,11.5,10.97,11.25,4750800
GME,2024-04-08,11.3,11.37,10.83,10.83,3659100
GME,2024-04-09,10.85,11.18,10.73,11.01,3514400
GME,2024-04-10,10.9,11.07,10.75,10.85,3546200
GME,2024-04-11,10.91,11.39,10.8,11.29,3802100
GME,2024-04-12,11.21,11.23,10.76,10.77,3196300
GME,2024-04-15,10.81,10.84,10.06,10.06,5086300
GME,2024-04-16,10.0,10.55,9.95,10.37,4162100
GME,2024-04-17,10.44,10.59,10.3,10.3,2096700
GME,2024-04-18,10.32,10.63,10.27,10.31,2175400
GME,2024-04-19,10.2,10.5,10.2,10.42,2455100
GME,2024-04-22,10.41,10.45,10.01,10.01,3261000
GME,2024-04-23,10.05,10.28,10.01,10.16,2511800
GME,2024-04-24,10.16,10.94,10.16,10.93,4829600
GME,2024-04-25,10.7,11.21,10.48,11.21,4903800
GME,2024-04-26,11.18,12.19,11.0,11.9,7685100
GME,2024-04-29,11.84,11.96,11.18,11.29,3821500
GME,2024-04-30,11.18,11.3,10.91,11.09,2866500
GME,2024-05-01,11.03,11.32,10.7,10.91,2653200
GME,2024-05-02,11.11,12.88,10.96,12.76,8654800
GME,2024-05-03,12.42,17.45,12.31,16.47,36292400
GME,2024-05-06,14.99,17.4,13.62,16.31,48018700
GME,2024-05-07,15.85,17.29,14.93,16.31,24308600
GME,2024-05-08,16.049999,17.24,15.33,15.92,24775100
GME,2024-05-09,15.9,18.51,15.35,18.01,25759300
GME,2024-05-10,17.93,20.2,16.88,17.46,36831900
GME,2024-05-13,26.34,38.2,24.77,30.45,187241700
GME,2024-05-14,64.83,64.83,36.0,48.75,206979100
GME,2024-05-15,40.31,42.35,31.0,39.55,131790100
GME,2024-05-16,33.98,35.24,27.59,27.67,76177600
GME,2024-05-17,21.86,22.41,19.7,22.21,96079600
GME,2024-05-20,21.54,23.4,18.94,23.14,55261600
GME,2024-05-21,22.24,22.85,20.040001,22.12,49250100
GME,2024-05-22,21.56,22.25,20.76,21.12,43521400
